AK,-0.6917
AL,-0.7034
AR,-0.6605
AZ,-0.6569
CA,-0.6859
CO,-0.6539
CT,-0.6946
DC,-0.6666
DE,-0.6961
FL,-0.6889
GA,-0.6788
GU,-0.3956
HI,-0.7005
IA,-0.6633
ID,-0.7179
IL,-0.6946
IN,-0.6786
KS,-0.696
KY,-0.6785
LA,-0.6961
MA,-0.696
MD,-0.6917
ME,-0.6528
MH,-16.703
MI,-0.699
MN,-0.6339
MO,-0.6874
MP,-0.3312
MS,-0.699
MT,-0.6813
NC,-0.6816
ND,-0.6769
NE,-0.6931
NH,-0.6888
NJ,-0.6829
NM,-0.6785
NV,-0.6946
NY,-0.6832
OH,-0.6931
OK,-0.6683
OR,-0.6874
PA,-0.686
PR,-0.6873
RI,-0.6857
SC,-0.6773
SD,-0.7241
TN,-0.6816
TX,-0.6845
UT,-0.6989
VA,-0.67
VI,-0.6931
VT,-0.6707
WA,-0.6931
WI,-0.7106
WV,-0.6827
WY,-0.6931
